UG_COD,UG_COD_DESC,UF,REGIAO,FONTE_REGIONALIZACAO
158129,"158129 - INST.FED.DE EDUC.,CIENC.E TEC.BAIANO -REITORI",BA,Nordeste,LLM
158131,158131 - INSTITUTO FED. DE EDU.CIE.TEC.DO TOCANTINS,TO,Norte,LLM
158132,"158132 - INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL",MS,Centro-Oeste,LLM
158133,"158133 - INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA",CE,Nordeste,LLM
158134,"158134 - INST.FED.DE EDUC.,CIENC.E TEC.DE SERGIPE",SE,Nordeste,LLM
158135,"158135 - INST.FED.DE EDUC.,CIENC.E TEC.DO PARA",PA,Norte,LLM
158136,"158136 - INST.FED.DE EDUC.,CIENC.E TEC.DE PERNAMBUCO",PE,Nordeste,LLM
158137,"158137 - INST.FED.DE EDUC.,CIENC.E TEC.DO SUL DE MG",MG,Sudeste,LLM
158138,"158138 - INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA",PB,Nordeste,LLM
158139,"158139 - INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE",RJ,Sudeste,LLM
158141,"158141 - INST.FED.DE EDUC.,CIENC.E TEC.DO RS",RS,Sul,LLM
158142,"158142 - INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS",AM,Norte,LLM
158143,158143 - IFB - REITORIA - BRASÍLIA-DF,DF,Centro-Oeste,LLM
158144,"158144 - INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO",MT,Centro-Oeste,LLM
158145,"158145 - INST.FED.DE EDUC.,CIENC.E TEC.DA BAHIA",BA,Nordeste,LLM
158146,"158146 - INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI",PI,Nordeste,LLM
158147,"158147 - INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",AL,Nordeste,LLM
158148,"158148 - INST.FED.DE EDUC.,CIENC.E TEC.DE RONDONIA",RO,Norte,LLM
158149,"158149 - INST.FED.DE ED.,CIENC.E TEC.DO S.PERNAMBUCANO",PE,Nordeste,LLM
158150,"158150 - INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA",AP,Norte,LLM
158151,"158151 - INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO",ES,Sudeste,LLM
158152,"158152 - INST.FED.DE EDUC.,CIENC.E TEC.DE RORAIMA",RR,Norte,LLM
158153,"158153 - INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS",GO,Centro-Oeste,LLM
158154,"158154 - INST.FED.DE EDUC.,CIENC.E TEC.DE SAO PAULO",SP,Sudeste,LLM
158155,"158155 - INST.FED.DE EDUC.,CIENC.E TEC.DO RN",RN,Nordeste,LLM
158156,"158156 - INST.FED.DE EDUC.,CIENC.E TEC.DO ACRE",AC,Norte,LLM
158157,"158157 - INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO",RJ,Sudeste,LLM
158159,158159 - INST.FED. DO AMAPA -CAMPUS MACAPA,AP,Norte,LLM
158160,158160 - INST.FED.DO AMAPA - CAMPUS LARANJAL JARI.,AP,Norte,LLM
158162,158162 - INST.FED.DO PARÁ/CAMPUS BREVES,PA,Norte,LLM
158172,158172 - HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,CE,Nordeste,LLM
158195,158195 - UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,PB,Nordeste,LLM
158196,158196 - HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO/UFCG,PB,Nordeste,LLM
158197,158197 - CENTRO DE FORMACAO DE PROFESSORES DA UFCG,PB,Nordeste,LLM
158198,158198 - CENTRO DE CIENCIAS JURIDICAS E SOCIAIS/UFCG,PB,Nordeste,LLM
158199,158199 - CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG,PB,Nordeste,LLM
158219,158219 - COLÉGIO DE APLICAÇÃO DA UFRJ,RJ,Sudeste,LLM
158220,158220 - HOSPITAL ESCOLA SAO FRANCISCO DE ASSIS,RS,Sul,LLM
158221,158221 - ESCOLA DE SERVIÇO SOCIAL DA UFRJ,RJ,Sudeste,LLM
158222,158222 - ESCOLA DE COMUNICAÇÃO DA UFRJ,RJ,Sudeste,LLM
158223,158223 - FACULDADE DE DIREITO DA UFRJ,RJ,Sudeste,LLM
158229,158229 - INSTITUTO DE BIOQUÍMICA MÉDICA DA UFRJ,RJ,Sudeste,LLM
158261,158261 - INST.FED.DO RS/CAMPUS PORTO ALEGRE,RS,Sul,LLM
158262,158262 - INST.FED.DO RS/CAMPUS RIO GRANDE,RS,Sul,LLM
158263,158263 - INST.FED.DO RS/CAMPUS SERTÃO,RS,Sul,LLM
158264,158264 - INST.FED.DO RS/CAMPUS BENTO GONCALVES,RS,Sul,LLM
158265,158265 - INST.FED.DO RS/CAMPUS CANOAS,RS,SUL,LLM
158266,158266 - INST.FED.FARROUPILHA/CAMPUS SANTO AUGUSTO,RS,Sul,LLM
158267,158267 - INST.FED.FARROUPILHA/CAMPUS DE ALEGRETE,RS,SUL,LLM
158268,158268 - INST.FED.FARROUPILHA/CAMPUS SÃO VICENTE SUL,RS,Sul,LLM
158269,158269 - INST.FED.FARROUPILHA/CAMPUS JULIO CASTILHOS,RS,Sul,LLM
158270,158270 - IFSP - CAMPUS SÃO PAULO,SP,Sudeste,LLM
158272,158272 - INST.FED. ESPIRITO SANTO/CAMPUS COLATINA,ES,Sudeste,LLM
158273,158273 - INST.FED.DO AMAZONAS/CAMPUS S.G. DA CACHOEIRA,AM,Norte,LLM
158274,158274 - INST.FED. FLUMINENSE/CAMPUS CAMPOS-CENTRO,RJ,Sudeste,LLM
158275,158275 - INST.FED.MINAS GERAIS/CAMPUS BAMBUÍ,MG,Sudeste,LLM
158276,158276 - INST.FED.DO MARANHAO/CAMPUS SAO LUIS-MACARANA,MA,Norte,LLM
158277,158277 - INST.FED.BAIANO/CAMPUS SANTA INES,BA,Nordeste,LLM
158278,158278 - INST.FED.S.PERNAMB./CAMPUS PETROLINA Z.RURAL,PE,Nordeste,LLM
158279,158279 - INST.FED.DA PARAIBA/CAMPUS SOUSA,PB,Nordeste,LLM
158280,158280 - INST.FED.DA PARAIBA/CAMPUS CAJAZEIRAS,PB,Nordeste,LLM
158281,158281 - INST.FED.DA PARAIBA/CAMPUS CAMPINA GRANDE,PB,Nordeste,LLM
158282,158282 - INST.FED.DO MARANHAO/CAMPUS PINHEIRO,MA,Norte,LLM
158283,158283 - INST.FED.DO MARANHAO/CAMPUS BURITICUPU,MA,Norte,LLM
158284,158284 - INST.FED.DO MARANHAO/CAMPUS BARRA DO CORDA,MA,Norte,LLM
158285,158285 - INST.FED.DO MARANHAO/CAMPUS BARREIRINHAS,MA,Norte,LLM
158286,158286 - INST.FED.DO MARANHAO/CAMPUS MONTE CASTELO,MA,Norte,LLM
158288,158288 - INST.FED.DO MARANHAO/CAMPUS CENTRO HISTORICO,MA,Norte,LLM
158289,158289 - INST.FED.DO MARANHAO/CAMPUS ZE DOCA,MA,Norte,LLM
158290,158290 - INST.FED.DO MARANHAO/CAMPUS SANTA INES,MA,Norte,LLM
158291,158291 - INST.FED.DO MARANHAO/CAMPUS S.JOAO DOS PATOS,MA,Nordeste,LLM
158292,158292 - INST.FED.DO MARANHAO/CAMPUS ALCANTARA,MA,Norte,LLM
158293,158293 - INST.FED.DO MARANHAO/CAMPUS CODO,MA,Norte,LLM
158294,158294 - INST.FED.DO MARANHAO/CAMPUS IMPERATRIZ,MA,Norte,LLM
158295,158295 - INST.FED.DO MARANHAO/CAMPUS ACAILANDIA,MA,Norte,LLM
158296,158296 - INST.FED.DO MARANHAO/CAMPUS S.R.MANGABEIRAS,MA,Norte,LLM
158297,158297 - INST.FED.DO MARANHAO/CAMPUS BACABAL,MA,Norte,LLM
158298,158298 - IF GOIANO - CAMPUS URUTAI,GO,Centro-Oeste,LLM
158299,158299 - IF GOIANO - CAMPUS RIO VERDE,GO,Centro-Oeste,LLM
158300,158300 - IF GOIANO - CAMPUS MORRINHOS,GO,Centro-Oeste,LLM
158301,158301 - CENTRO DE CIENCIAS E TECNOLOGIA AGROALIMENTAR,SP,Sudeste,LLM
158302,158302 - IF GOIANO - CAMPUS CERES,GO,Centro-Oeste,LLM
158303,158303 - IFSULDEMINAS - CAMPUS MUZAMBINHO,MG,Sudeste,LLM
158304,158304 - IFSULDEMINAS - CAMPUS MACHADO,MG,Sudeste,LLM
158305,158305 - IFSULDEMINAS - CAMPUS INCONFIDENTES,MG,Sudeste,LLM
158306,158306 - INST.FED.DO PARÁ/CAMPUS BELEM,PA,Norte,LLM
158307,158307 - INST.FED.DO PARÁ/CAMPUS RURAL MARABÁ,PA,Norte,LLM
158308,158308 - INST.FED.DO PARÁ/CAMPUS CASTANHAL,PA,Norte,LLM
158309,158309 - INST.FED.TRIANGULO MINEIRO/CAMPUS PARACATU,MG,Sudeste,LLM
158310,158310 - INST.FED.TRIANGULO MINEIRO/CAMPUS UBERABA,MG,Sudeste,LLM
158311,158311 - INST.FED.TRIANGULO MINEIRO/CAMPUS ITUIUTABA,MG,Sudeste,LLM
158312,158312 - INST.FED.TRIANGULO MINEIRO/CAMPUS UBERLANDIA,MG,Sudeste,LLM
158313,158313 - INST.FED.DO CEARA/CAMPUS FORTALEZA,CE,Nordeste,LLM
158314,158314 - INST.FED.DO CEARA/CAMPUS LIMOEIRO DO NORTE,CE,Nordeste,LLM
158315,158315 - INST.FED.DO CEARA/CAMPUS QUIXADA,CE,Nordeste,LLM
158316,158316 - INST.FED.DO CEARA/CAMPUS JUAZEIRO DO NORTE,CE,Nordeste,LLM
158317,158317 - INST.FED.DO CEARA/CAMPUS SOBRAL,CE,Nordeste,LLM
158318,158318 - INST.FED.DO CEARA/CAMPUS CEDRO,CE,Nordeste,LLM
158319,158319 - INST.FED.DO CEARA/CAMPUS MARACANAU,CE,Nordeste,LLM
158320,158320 - INST.FED.DO CEARA/CAMPUS IGUATU,CE,Nordeste,LLM
158321,158321 - INST.FED.DO CEARA/CAMPUS CRATO,CE,Nordeste,LLM
158322,158322 - INST.FED.DO CEARA/CAMPUS ACARAU,CE,Nordeste,LLM
158323,158323 - INST.FED.DO CEARA/CAMPUS CANINDÉ,CE,Nordeste,LLM
158324,158324 - INST.FED.DO CEARA/CAMPUS CRATEUS,CE,Nordeste,LLM
158325,158325 - INST.FED.DO RS/CAMPUS ERECHIM,RS,Sul,LLM
158326,158326 - INST.FED.DO RS/CAMPUS PORTO ALEGRE - RESTINGA,RS,Sul,LLM
158327,158327 - INST.FED.DO RS/CAMPUS OSORIO,RS,SUL,LLM
158328,158328 - INST.FED.DO RS/CAMPUS CAXIAS DO SUL,RS,Sul,LLM
158329,158329 - IFSP - CAMPUS SÃO ROQUE,SP,Sudeste,LLM
158330,158330 - IFSP - CAMPUS SÃO CARLOS,SP,Sudeste,LLM
158331,158331 - IFSP - CAMPUS SERTÃOZINHO,SP,Sudeste,LLM
158332,158332 - IFSP - CAMPUS CUBATÃO,SP,Sudeste,LLM
158333,158333 - INST.FED.MATO GROSSO/CAMPUS CUIABÁ,MT,Centro-Oeste,LLM
158334,158334 - INST.FED.MATO GROSSO/CAMPUS CACERES,MT,Centro-Oeste,LLM
158335,158335 - INST.FED.MATO GROSSO/CAMPUS SÃO VICENTE,MT,Centro-Oeste,LLM
158336,158336 - INST.FED.DO TOCANTINS/CAMPUS PALMAS,TO,Norte,LLM
158337,158337 - INST.FED.DO TOCANTINS/CAMPUS ARAGUATINS,TO,Norte,LLM
158338,158338 - INST.FED.SUL RIO GRANDENSE/CAMPUS PASSO FUNDO,RS,Sul,LLM
158339,158339 - INST.FED.SUL RIO GRANDENSE/CAMPUS SAPUCAIA,RS,Sul,LLM
158340,158340 - INST.FED.SUL RIO GRANDENSE/CAMPUS CHARQUEADAS,RS,Sul,LLM
158341,158341 - INST.FED.RONDONIA/CAMPUS COLORADO DO OESTE-RO,RO,Norte,LLM
158342,158342 - INST.FED.RONDONIA/CAMPUS DE VILHENA - RO,RO,Norte,LLM
158343,158343 - INST.FED.RONDONIA/CAMPUS ARIQUEMES-RO,RO,Norte,LLM
158344,158344 - IFSP - CAMPUS BRAGANÇA PAULISTA,SP,Sudeste,LLM
158345,158345 - INST.FED.RONDONIA/CAMPUS PORTO VELHO CALAMA,RO,Norte,LLM
158346,158346 - IFSP - CAMPUS SÃO JOÃO DA BOA VISTA,SP,Sudeste,LLM
158347,158347 - IFSP - CAMPUS CAMPOS DO JORDÃO,SP,Sudeste,LLM
158348,158348 - IFSP - CAMPUS GUARULHOS,SP,Sudeste,LLM
158349,158349 - IFSP - CAMPUS CARAGUATATUBA,SP,Sudeste,LLM
158350,158350 - INST.FED.RORAIMA - CAMPUS BOA VISTA,RR,Norte,LLM
158351,158351 - INST.FED.RORAIMA - CAMPUS NOVO PARAISO,RR,Norte,LLM
158353,158353 - INST.FED.PIAUI/CAMPUS TERESINA CENTRAL,PI,Nordeste,LLM
158354,158354 - INST.FED.PIAUÍ/CAMPUS TERESINA ZONA SUL,PI,Nordeste,LLM
158355,158355 - INST.FED. PIAUI/CAMPUS FLORIANO,PI,Nordeste,LLM
158356,158356 - INST.FED.PIAUI/CAMPUS PICOS,PI,Nordeste,LLM
158357,158357 - INST.FED.PIAUI/CAMPUS PARNAIBA,PI,Nordeste,LLM
158358,158358 - INST.FED.PIAUI/CAMPUS ANGICAL,PI,Nordeste,LLM
158359,158359 - INST.FED.PIAUI/CAMPUS PAULISTANA,PI,Nordeste,LLM
158360,158360 - INST.FED.PIAUI/CAMPUS PIRIPIRI,PI,Nordeste,LLM
158361,158361 - INST.FED.PIAUI/CAMPUS SAO RAIMUNDO NONATO,PI,Nordeste,LLM
158362,158362 - INST.FED.PIAUI/CAMPUS CORRENTE,PI,Nordeste,LLM
158363,158363 - INST.FED.PIAUI/CAMPUS URUCUI,PI,Nordeste,LLM
158364,158364 - IFSP - CAMPUS SALTO,SP,Sudeste,LLM
158365,158365 - INST.FED DO RN/CAMPUS MOSSORO,RN,Nordeste,LLM
158366,158366 - INST.FED. DO RN/CAMPUS CURRAIS NOVOS,RN,Nordeste,LLM
158367,158367 - INST.FED. DO RN/CAMPUS IPANGUAÇU,RN,Nordeste,LLM
158368,158368 - INST.FED.DO RN/CAMPUS NATAL - ZONA NORTE,RN,Nordeste,LLM
158369,158369 - INST.FED.DO RN/CAMPUS NATAL - CENTRAL,RN,Nordeste,LLM
158370,158370 - INST.FED. DO RN/CAMPUS CAICÓ,RN,Nordeste,LLM
158371,158371 - INST.FED.DO RN/CAMPUS APODI,RN,Nordeste,LLM
158372,158372 - INST.FED.DO RN/CAMPUS SANTA CRUZ,RN,Nordeste,LLM
158373,158373 - INST.FED.DO RN/CAMPUS JOAO CAMARA,RN,Nordeste,LLM
158374,158374 - INST.FED.DO RN/CAMPUS PAU DOS FERROS,RN,Nordeste,LLM
158375,158375 - INST.FED.DO RN/CAMPUS MACAU,RN,Nordeste,LLM
158376,158376 - INST.FED.RONDONIA/CAMPUS JI-PARANA,RO,Norte,LLM
158377,158377 - INST.FED.DO NORTE DE MG/CAMPUS SALINAS,MG,Sudeste,LLM
158378,158378 - INST.FED.DO NORTE DE MG/CAMPUS JANUARIA,MG,Sudeste,LLM
158379,158379 - INST. FED. CATARINENSE/CAMPUS VIDEIRA,SC,Sul,LLM
158380,158380 - INST.FED.DE ALAGOAS/CAMPUS MARECHAL DEODORO,AL,Nordeste,LLM
158381,158381 - INST.FED DE ALAGOAS/CAMPUS MACEIO,AL,Nordeste,LLM
158382,158382 - INST.FED. ALAGOAS/CAMPUS SATUBA,AL,Nordeste,LLM
158383,158383 - INST.FED.DE ALAGOAS/CAMPUS PALMEIRA DOS IND.,AL,Nordeste,LLM
158384,158384 - INST.FED. FLUMINENSE/CAMPUS MACAE,RJ,Sudeste,LLM
158385,158385 - INST.FED. FLUMINENSE/CAMPUS ITAPERUNA,RJ,Sudeste,LLM
158386,158386 - INST.FED. FLUMINENSE/CAMPUS GUARUS,RJ,Sudeste,LLM
158387,158387 - INST.FED  FLUMINENSE/CAMPUS B.JESUS DO ITABAP,RJ,Sudeste,LLM
158392,158392 - INST. FED. DE SERGIPE/CAMPUS SÃO CRISTOVÃO,SE,Nordeste,LLM
158393,158393 - INST. FED. DE SERGIPE/CAMPUS ARACAJU,SE,Nordeste,LLM
158394,158394 - INST. FED. DE SERGIPE/CAMPUS LAGARTO,SE,Nordeste,LLM
158396,158396 - INST. FED. DO PARANÁ/CAMPUS FOZ DO IGUAÇU,PR,Sul,LLM
158397,158397 - INST. FED. DO PARANÁ/CAMPUS PARANAGUA,PR,Sul,LLM
158398,158398 - INST. FED. DO PARANÁ/CAMPUS PARANAVAI,PR,SUL,LLM
158401,158401 - CENTRO DESENV SUSTENTAVEL DO SEMIARIDO-UFCG,PB,Nordeste,LLM
158402,158402 - INST. FED. DO PARANÁ/CAMPUS UMUARAMA,PR,SUL,LLM
158403,158403 - INST. FED. DA BAHIA/CAMPUS CAMAÇARI,BA,Nordeste,LLM
158404,158404 - INST. FED. DA BAHIA/CAMPUS BARREIRAS,BA,Nordeste,LLM
158405,158405 - INST. FED. DA BAHIA/CAMPUS VALENÇA,BA,Nordeste,LLM
158406,158406 - INST. FED. DA BAHIA/CAMPUS SANTO AMARO,BA,Nordeste,LLM
158407,158407 - INST. FED.DA BAHIA/CAMPUS SIMOES FILHO,BA,Nordeste,LLM
158408,158408 - INST. FED. DA BAHIA/CAMPUS PORTO SEGURO,BA,Nordeste,LLM
158409,158409 - INST. FED. DA BAHIA/CAMPUS VIT. DA CONQUISTA,BA,Nordeste,LLM
158410,158410 - INST. FED. DA BAHIA/CAMPUS EUNAPOLIS,BA,Nordeste,LLM
158411,158411 - INST. FED. DA BAHIA/CAMPUS SALVADOR,BA,Nordeste,LLM
158412,158412 - INST FED SUDESTE DE MG/CAMPUS RIO POMBA,MG,Sudeste,LLM
158413,158413 - INST FED SUDESTE DE MG/CAMPUS BARBACENA,MG,Sudeste,LLM
158414,158414 - INST FED SUDESDE DE MG/CAMPUS JUIZ DE FORA,MG,Sudeste,LLM
158415,158415 - INST FED SUDESTE DE MG/CAMPUS MURIAE,MG,Sudeste,LLM
158416,158416 - INST.FED. ESPIRITO SANTO/CAMPUS VITORIA,ES,Sudeste,LLM
158417,158417 - INST.FED. ESPIRITO SANTO/CAMPUS SERRA,ES,Sudeste,LLM
158418,158418 - INST.FED. ESPIRITO SANTO/CAMPUS CACHOEIRO,ES,Sudeste,LLM
158419,158419 - INST.FED. ESPIRITO SANTO/CAMPUS ARACRUZ,ES,Sudeste,LLM
158420,158420 - INST.FED. ESPIRITO SANTO/CAMPUS LINHARES,ES,Sudeste,LLM
158421,158421 - INST.FED. ESPIRITO SANTO/CAMPUS CARIACICA,ES,Sudeste,LLM
158422,158422 - INST.FED. ESPIRITO SANTO/CAMPUS NOVA VENECIA,ES,Sudeste,LLM
158423,158423 - INST.FED. ESPIRITO SANTO/CAMPUS SÃO MATEUS,ES,Sudeste,LLM
158424,158424 - INST.FED. ESPIRITO SANTO/CAMPUS ITAPINA,ES,Sudeste,LLM
158425,158425 - INST.FED. ESPIRITO SANTO/CAMPUS ALEGRE,ES,Sudeste,LLM
158426,158426 - INST.FED. ESPIRITO SANTO/CAMPUS SANTA TERESA,ES,Sudeste,LLM
158427,158427 - INST.FED. ESPIRITO SANTO/CAMPUS VILA VELHA,ES,Sudeste,LLM
158428,158428 - INST.FED. ESPIRITO SANTO/CAMPUS IBATIBA,ES,Sudeste,LLM
158429,158429 - INST.FED. ESPIRITO SANTO/CAMPUS V.N. DO IMIGR,ES,Sudeste,LLM
158430,158430 - INST.FED.DE GOIAS/CAMPUS GOIANIA,GO,Centro-Oeste,LLM
158431,158431 - INST.FED.DE GOIAS/CAMPUS JATAI,GO,Centro-Oeste,LLM
158432,158432 - INST.FED.DE GOIAS/CAMPUS INHUMAS,GO,Centro-Oeste,LLM
158433,158433 - INST.FED.DE GOIÁS/CAMPUS ITUMBIARA,GO,Centro-Oeste,LLM
158434,158434 - T.FED.DE GOIAS/CAMPUS URUAÇU,GO,Centro-Oeste,LLM
158435,158435 - INST.FED.BAIANO/CAMPUS SENHOR DO BONFIM,BA,Nordeste,LLM
158437,158437 - INST.FED.DO NORTE DE MG/CAMPUS MONTES CLAROS,MG,Sudeste,LLM
158438,158438 - INST.FED.DO NORTE DE MG/CAMPUS ARINOS,MG,Sudeste,LLM
158439,158439 - INST.FED.DO NORTE DE MG/CAMPUS ALMENARA,MG,Sudeste,LLM
158440,158440 - INST.FED.DO NORTE DE MG/CAMPUS PIRAPORA,MG,Sudeste,LLM
158441,158441 - INST.FED DO NORTE DE MG/CAMPUS ARACUAI,MG,Sudeste,LLM
158442,158442 - INST. FED. BAIANO - CAMPUS GUANAMBI,BA,Nordeste,LLM
158443,158443 - INST.FED.BAIANO/CAMPUS CATU,BA,Nordeste,LLM
158444,158444 - INST.FED.DO AMAZONAS/CAMPUS MANAUS ZONA LESTE,AM,Norte,LLM
158445,158445 - INST.FED.DO AMAZONAS/CAMPUS MANAUS CENTRO,AM,Norte,LLM
158446,158446 - CAMPUS MANAUS DISTRITO INDUSTRIAL,AM,Norte,LLM
158447,158447 - CAMPUS COARI,AM,Norte,LLM
158448,158448 - INST.FED.DO MS/CAMPUS AQUIDAUANA,MS,Centro-Oeste,LLM
158449,158449 - INST. FED. DO MS/CAMPUS CAMPO GRANDE,MS,Centro-Oeste,LLM
158450,158450 - INST. FED. DO MS/CAMPUS CORUMBA,MS,Centro-Oeste,LLM
158451,158451 - INST. FED. DO MS/CAMPUS COXIM,MS,Centro-Oeste,LLM
158452,158452 - INST. FED. DO MS/CAMPUS NOVA ANDRADINA,MS,Centro-Oeste,LLM
158453,158453 - INST. FED. DO MS/CAMPUS PONTA PORA,MS,Centro-Oeste,LLM
158454,158454 - INST. FED. DO MS/CAMPUS TRES LAGOAS,MS,Centro-Oeste,LLM
158456,158456 - INST.FED.DO MARANHAO/CAMPUS CAXIAS,MA,Nordeste,LLM
158457,158457 - INST.FED.DO MARANHAO/CAMPUS TIMON,MA,Norte,LLM
158458,158458 - INST. FED. CATARINENSE/CAMPUS RIO DO SUL,SC,Sul,LLM
158459,158459 - INST. FED. CATARINENSE/CAMPUS ARAQUARI,SC,Sul,LLM
158460,158460 - INST. FED. CATARINENSE/CAMPUS CAMBORIU,SC,Sul,LLM
158461,158461 - INST. FED. CATARINENSE/CAMPUS CONCORDIA,SC,Sul,LLM
158462,158462 - INST. FED. CATARINENSE/CAMPUS SOMBRIO,SC,Sul,LLM
158463,158463 - INST.FED.DO PE/CAMPUS IPOJUCA,PE,Nordeste,LLM
158464,158464 - INST.FED. DO PE/CAMPUS RECIFE,PE,Nordeste,LLM
158465,158465 - INST.FED.DO PE/CAMPUS VITORIA DE ST. ANTAO,PE,Nordeste,LLM
158466,158466 - INST.FED. DO PE/CAMPUS BARREIROS,PE,Nordeste,LLM
158467,158467 - INST.FED.DO SUL-RIO-GRANDENSE/CAMPUS PELOTAS,RS,Sul,LLM
158468,158468 - INST.FED.FLUMINENSE/CAMPUS CABO FRIO,RJ,Sudeste,LLM
158469,158469 - INST.FED.DA PARAIBA/CAMPUS JOAO PESSOA,PB,Nordeste,LLM
158470,158470 - INST.FED. DA PARAIBA/CAMPUS PATOS,PB,Nordeste,LLM
158471,158471 - INST.FED.DA PARAIBA/CAMPUS PRINCESA ISABEL,PB,Nordeste,LLM
158472,158472 - INST.FED. DA PARAIBA/CAMPUS DE MONTEIRO,PB,Nordeste,LLM
158473,158473 - INST.FED. DA PARAIBA/CAMPUS DE PICUI,PB,Nordeste,LLM
158474,158474 - INST.FED.DA PARAIBA/CAMPUS DE CABEDELO,PB,Nordeste,LLM
158475,158475 - INST.FED. MINAS GERAIS/CAMPUS OURO PRETO,MG,Sudeste,LLM
158476,158476 - INST.FED.MINAS GERAIS/CAMPUS S.J.EVANGELISTA,MG,Sudeste,LLM
158477,158477 - INST.FED.DO PE/CAMPUS PESQUEIRA,PE,Nordeste,LLM
158478,158478 - INST.FED DO PE/CAMPUS BELO JARDIM,PE,Nordeste,LLM
158481,158481 - INST.FED.DO PARA/CAMPUS TUCURUI,PA,Norte,LLM
158482,158482 - INST.FED.DO RJ/CAMPUS DUQUE DE CAXIAS,RJ,Sudeste,LLM
158483,158483 - 1NST.FED.DO RJ/CAMPUS NILOPOLIS,RJ,Sudeste,LLM
158484,158484 - INST.FED.DO RJ/CAMPUS PARACAMBI,RJ,Sudeste,LLM
158485,158485 - INST.FED.DO RJ/CAMPUS PINHEIRAL,RJ,Sudeste,LLM
158486,158486 - INST.FED.DO RJ/CAMPUS RJ - REALENGO,RJ,Sudeste,LLM
158487,158487 - INST.FED.DO RJ/CAMPUS SAO GONÇALO,RJ,Sudeste,LLM
158488,158488 - INST.FED.DO RJ/CAMPUS VOLTA REDONDA,RJ,Sudeste,LLM
158489,158489 - INST.FED.DO TOCANTINS/CAMPUS PARAISO DO TO,TO,Norte,LLM
158492,158492 - INST.FED.MATO GROSSO/CAMPUS CAMPO N. PARECIS,MT,Centro-Oeste,LLM
158493,158493 - INST.FED.MATO GROSSO/CAMPUS JUINA,MT,Centro-Oeste,LLM
158494,158494 - INST.FED.MATO GROSSO/CAMPUS BELA VISTA,MT,Centro-Oeste,LLM
158495,158495 - INST.FED.MATO GROSSO/CAMPUS PONTES LACERDA,MT,Centro-Oeste,LLM
158496,158496 - INST.FED.MATO GROSSO/CAMPUS CONFRESA,MT,Centro-Oeste,LLM
158497,158497 - INST.FED.MATO GROSSO/CAMPUS BARRA DO GARÇAS,MT,Centro-Oeste,LLM
158498,158498 - INST.FED.MATO GROSSO/CAMPUS RONDONOPOLIS,MT,Centro-Oeste,LLM
158499,158499 - INST.FED.SERTAO PERNAMBUCANO/CAMPUS PETROLINA,PE,Nordeste,LLM
158500,158500 - INST.FED.SERTAO PERNAMBUCANO/CAMPUS FLORESTA,PE,Nordeste,LLM
158501,158501 - IFB - CAMPUS PLANALTINA,DF,Centro-Oeste,LLM
158502,158502 - INST.FED.DO RJ/CAMPUS RJ - MARACANÃ,RJ,Sudeste,LLM
158503,158503 - INST.FED.FARROUPILHA/CAMPUS DE SÃO BORJA,RS,Sul,LLM
158504,158504 - INST.FED.FARROUPILHA/CAMPUS DE SANTA ROSA,RS,Sul,LLM
158505,158505 - INST.FE.FARROUPILHA/CAMPUS PANAMBI,RS,Sul,LLM
158506,158506 - INST.FED.DO PARÁ/CAMPUS BRAGANÇA,PA,Norte,LLM
158507,158507 - INST.FED.DO PARÁ/CAMPUS ALTAMIRA,PA,Norte,LLM
158508,158508 - INST.FED.DO PARÁ/CAMPUS ABAETETUBA,PA,Norte,LLM
158509,158509 - INST.FED.DO PARÁ/CAMPUS CONCEIC. DO ARAGUAIA,PA,Norte,LLM
158510,158510 - INST.FED.RORAIMA - CAMPUS AMAJARI,RR,Norte,LLM
158511,158511 - INST.FED.DO TOCANTINS/CAMPUS ARAGUAINA,TO,Norte,LLM
158512,158512 - INST.FED.DO PARÁ/CAMPUS INDUSTRIAL MARABÁ,PA,Norte,LLM
158513,158513 - INST.FED. MINAS GERAIS/CAMPUS FORMIGA,MG,Sudeste,LLM
158514,158514 - INST.FED. MINAS GERAIS/CAMPUS CONGONHAS,MG,Sudeste,LLM
158515,158515 - UNIVERSIDADE FEDERAL DO OESTE DO PARA,PA,Norte,LLM
158516,"158516 - INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CATARINA",SC,Sul,LLM
158517,158517 - UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,SC,Sul,LLM
158518,158518 - INST.FED.DO PARÁ/CAMPUS SANTARÉM,PA,Norte,LLM
